Date,Open,High,Low,Close,Volume,Currency
2009-09-04,10784.44,10814.42,10702.14,10814.42,0,MAD
2009-09-07,10758.74,10817.71,10752.46,10799.39,0,MAD
2009-09-08,10783.18,10827.06,10747.61,10826.9,0,MAD
2009-09-09,10834.27,10881.46,10812.83,10881.41,0,MAD
2009-09-10,10917.31,10931.9,10851.0,10872.07,0,MAD
2009-09-11,10869.61,10901.28,10782.46,10864.71,0,MAD
2009-09-14,10864.72,10864.72,10752.46,10767.41,0,MAD
2009-09-15,10755.04,10834.03,10723.85,10801.98,0,MAD
2009-09-16,10795.36,10866.77,10777.47,10863.3,0,MAD
2009-09-17,10836.72,10900.3,10814.19,10900.3,0,MAD
2009-09-18,10898.61,10950.19,10821.46,10950.19,0,MAD
2009-09-23,10949.57,11021.16,10949.57,10980.01,0,MAD
2009-09-24,10978.21,10989.02,10921.6,10921.6,0,MAD
2009-09-25,10921.66,10947.17,10851.7,10930.92,0,MAD
2009-09-28,10945.29,10961.09,10910.32,10937.01,0,MAD
2009-09-29,10933.04,10944.69,10877.48,10931.72,0,MAD
2009-09-30,10778.77,10810.31,10714.77,10765.39,0,MAD
2009-10-01,10746.87,10806.92,10627.39,10778.03,0,MAD
2009-10-02,10779.59,10807.14,10754.36,10807.14,0,MAD
2009-10-05,10748.54,10803.85,10718.0,10803.85,0,MAD
2009-10-06,10801.9,10840.02,10756.62,10840.02,0,MAD
2009-10-07,10774.15,10883.84,10765.6,10883.84,0,MAD
2009-10-08,10883.3,10959.91,10833.01,10898.98,0,MAD
2009-10-09,10907.44,10960.69,10900.38,10915.88,0,MAD
2009-10-12,10912.49,10941.58,10908.37,10925.64,0,MAD
2009-10-13,10933.35,10963.19,10888.7,10903.17,0,MAD
2009-10-14,10913.55,10928.86,10866.12,10866.12,0,MAD
2009-10-15,10875.49,10988.13,10870.06,10988.13,0,MAD
2009-10-16,10984.87,10990.7,10928.67,10990.7,0,MAD
2009-10-19,10964.19,11026.36,10958.09,10999.4,0,MAD
2009-10-20,10997.57,11002.12,10930.12,11002.12,0,MAD
2009-10-21,10989.61,10989.61,10802.23,10802.23,0,MAD
2009-10-22,10780.37,10852.93,10775.09,10830.43,0,MAD
2009-10-23,10809.22,10860.11,10798.39,10852.42,0,MAD
2009-10-26,10853.29,10859.49,10797.06,10849.14,0,MAD
2009-10-27,10809.04,10826.79,10776.31,10806.61,0,MAD
2009-10-28,10784.89,10807.79,10735.36,10735.36,0,MAD
2009-10-29,10723.11,10725.23,10625.08,10698.72,0,MAD
2009-10-30,10681.42,10775.78,10681.42,10775.76,0,MAD
2009-11-02,10752.5,10810.53,10749.75,10786.2,0,MAD
2009-11-03,10785.53,10785.53,10721.3,10765.83,0,MAD
2009-11-04,10779.76,10779.76,10699.26,10728.56,0,MAD
2009-11-05,10716.27,10716.27,10602.28,10651.87,0,MAD
2009-11-09,10601.19,10642.37,10585.16,10585.16,0,MAD
2009-11-10,10572.62,10642.43,10569.6,10642.43,0,MAD
2009-11-11,10634.08,10642.84,10554.18,10554.18,0,MAD
2009-11-12,10524.32,10538.81,10336.03,10444.43,0,MAD
2009-11-13,10387.31,10443.58,10354.87,10405.54,0,MAD
2009-11-16,10388.34,10391.22,10297.58,10297.6,0,MAD
2009-11-17,10303.0,10318.16,10243.31,10243.31,0,MAD
2009-11-19,10256.78,10355.59,10235.5,10338.46,0,MAD
2009-11-20,10322.8,10353.9,10291.68,10291.72,0,MAD
2009-11-23,10314.18,10323.47,10233.86,10300.76,0,MAD
2009-11-24,10304.12,10304.12,10199.05,10263.15,0,MAD
2009-11-25,10190.82,10325.76,10190.82,10284.79,0,MAD
2009-11-26,10293.68,10334.19,10271.46,10312.98,0,MAD
2009-11-27,10314.93,10339.07,10262.44,10300.67,0,MAD
2009-11-30,10240.39,10257.43,10208.45,10208.45,0,MAD
2009-12-01,10239.62,10252.8,10164.49,10200.99,0,MAD
2009-12-02,10203.3,10226.26,10185.53,10202.46,0,MAD
2009-12-03,10220.14,10245.43,10114.22,10120.42,0,MAD
2009-12-04,10119.11,10168.77,9992.95,9997.56,0,MAD
2009-12-07,10011.35,10070.07,9987.09,10070.07,0,MAD
2009-12-08,10062.99,10187.75,10062.99,10156.98,0,MAD
2009-12-09,10132.3,10227.96,10132.3,10189.56,0,MAD
2009-12-10,10197.35,10362.8,10197.35,10362.8,0,MAD
2009-12-11,10374.46,10488.91,10359.93,10488.9,0,MAD
2009-12-14,10491.93,10491.93,10422.05,10469.24,0,MAD
