,Séance,VOLUME MC,VOLUME MB,VOLUME INTRODUCTIONS,VOLUME_OFFRES PUBLIQUES,VOLUME TRANSFERTS,VOLUME APPORTS,VOLUME AUG CAPITAL,TOTAL
122,2002-07-03,204743834.4,2677530.0,0.0,0.0,0.0,0.0,0.0,207421364.4
123,2002-07-02,8735459.2,0.0,0.0,0.0,0.0,0.0,0.0,8735459.2
124,2002-07-01,4580464.3,5780323.44,0.0,0.0,37158.0,0.0,0.0,10397945.74
125,2002-06-28,29615315.96,27465217.0,0.0,0.0,0.0,0.0,0.0,57080532.96
126,2002-06-27,19211445.1,15500000.0,0.0,0.0,0.0,0.0,0.0,34711445.1
127,2002-06-26,9501462.5,0.0,0.0,583421300.0,0.0,0.0,0.0,592922762.5
128,2002-06-25,5681232.0,0.0,0.0,0.0,0.0,0.0,0.0,5681232.0
129,2002-06-24,10080152.86,3671920.0,0.0,0.0,0.0,0.0,0.0,13752072.86
130,2002-06-21,12902944.42,2444000.0,0.0,0.0,0.0,0.0,0.0,15346944.42
131,2002-06-20,11300035.61,0.0,0.0,0.0,0.0,0.0,0.0,11300035.61
132,2002-06-19,5827227.39,1971520.0,0.0,0.0,0.0,0.0,0.0,7798747.39
133,2002-06-18,8236915.95,7780800.0,0.0,0.0,477000.0,0.0,0.0,16494715.95
134,2002-06-17,5889428.5,0.0,0.0,0.0,0.0,0.0,0.0,5889428.5
135,2002-06-14,13449338.08,0.0,0.0,0.0,0.0,0.0,0.0,13449338.08
136,2002-06-13,19791037.0,1830000.0,0.0,0.0,22200.0,0.0,0.0,21643237.0
137,2002-06-12,18938847.5,2805000.0,0.0,0.0,32400.0,0.0,0.0,21776247.5
138,2002-06-11,7738226.95,0.0,0.0,0.0,36696.0,0.0,0.0,7774922.95
139,2002-06-10,9223837.55,0.0,0.0,0.0,0.0,0.0,0.0,9223837.55
140,2002-06-07,5997848.9,1079000.0,0.0,0.0,557117.0,0.0,0.0,7633965.9
141,2002-06-06,7071270.8,0.0,0.0,0.0,10621.2,0.0,0.0,7081892.0
142,2002-06-05,16561937.55,30318800.0,0.0,0.0,120000.0,0.0,0.0,47000737.55
143,2002-06-04,11527993.82,2107296.0,0.0,0.0,0.0,0.0,0.0,13635289.82
144,2002-06-03,9649675.5,0.0,0.0,0.0,0.0,0.0,0.0,9649675.5
145,2002-05-31,10011374.25,13917620.0,0.0,0.0,928700.0,0.0,0.0,24857694.25
146,2002-05-30,11244447.76,517440.0,0.0,0.0,0.0,0.0,0.0,11761887.76
147,2002-05-29,12736477.7,1853000.0,0.0,0.0,144494.0,0.0,0.0,14733971.7
148,2002-05-28,21731402.11,6845690.0,0.0,0.0,0.0,0.0,0.0,28577092.11
149,2002-05-27,6053431.05,4626600.0,0.0,0.0,86240.0,0.0,0.0,10766271.05
150,2002-05-24,8962796.2,1816000.0,0.0,0.0,0.0,0.0,0.0,10778796.2
151,2002-05-23,12659507.64,0.0,0.0,0.0,84800.0,0.0,0.0,12744307.64
152,2002-05-22,19746036.8,3662880.0,0.0,0.0,0.0,0.0,0.0,23408916.8
153,2002-05-21,29272331.74,1883110.0,0.0,0.0,0.0,0.0,0.0,31155441.74
154,2002-05-20,11066461.9,11952000.0,0.0,0.0,0.0,0.0,0.0,23018461.9
155,2002-05-17,6990559.25,1470000.0,0.0,0.0,0.0,0.0,0.0,8460559.25
156,2002-05-16,16494778.75,6171000.0,0.0,0.0,0.0,0.0,0.0,22665778.75
157,2002-05-15,15814012.8,103346132.0,0.0,0.0,7036.0,0.0,0.0,119167180.8
158,2002-05-14,26535901.75,15986947.48,0.0,0.0,30070.0,0.0,0.0,42552919.23
159,2002-05-13,12016943.5,264378.0,0.0,0.0,0.0,0.0,0.0,12281321.5
160,2002-05-10,10359492.2,15840967.0,0.0,0.0,1392940.0,0.0,0.0,27593399.2
161,2002-05-09,20433907.6,4835973.15,0.0,0.0,2324300.0,0.0,0.0,27594180.75
162,2002-05-08,16445045.3,3162807.0,0.0,0.0,2273514.0,0.0,0.0,21881366.3
163,2002-05-07,13320858.5,0.0,0.0,0.0,1189160.0,0.0,0.0,14510018.5
164,2002-05-06,22654666.2,3580000.0,0.0,0.0,593634.0,0.0,0.0,26828300.2
165,2002-05-03,13250655.85,36517961.3,0.0,0.0,411808.0,0.0,0.0,50180425.15
166,2002-05-02,11418470.5,320000.0,0.0,0.0,1990039.0,0.0,0.0,13728509.5
167,2002-04-30,22121230.45,0.0,0.0,0.0,489056.0,0.0,0.0,22610286.45
168,2002-04-29,10164722.86,338000.0,0.0,0.0,3472547.0,0.0,0.0,13975269.86
169,2002-04-26,16887872.9,593536800.0,0.0,0.0,33604.0,0.0,0.0,610458276.9
170,2002-04-25,16092568.24,18866235.0,0.0,0.0,1743915.0,0.0,0.0,36702718.24
171,2002-04-24,17879414.9,0.0,0.0,0.0,378725.0,0.0,0.0,18258139.9
172,2002-04-23,18567552.14,6629500.0,0.0,0.0,1114060.0,0.0,0.0,26311112.14
173,2002-04-22,9594131.3,3591597.6,0.0,0.0,11610.0,0.0,0.0,13197338.9
174,2002-04-19,9072252.2,1111500.0,0.0,0.0,338580.0,0.0,0.0,10522332.2
175,2002-04-18,12060103.75,2780000.0,0.0,0.0,109000.0,0.0,0.0,14949103.75
