Column1;Date;Open;High;Low;Close;Volume;Currency;IS
113;14/06/2002;3323.48;3337.71;3319.46;3332.24;0;MAD;416.0562222645315
114;17/06/2002;3313.04;3322.24;3312.67;3318.05;0;MAD;413.6304801267175
115;18/06/2002;3313.88;3316.32;3307.07;3315.62;0;MAD;409.9897987992649
116;19/06/2002;3315.0;3315.43;3310.91;3310.91;0;MAD;411.43456634988496
117;20/06/2002;3303.59;3315.21;3303.54;3313.1;0;MAD;418.503628923037
118;21/06/2002;3293.84;3295.83;3291.91;3291.91;0;MAD;421.05005205688775
119;24/06/2002;3282.53;3298.28;3277.72;3298.28;0;MAD;433.39093162512347
120;25/06/2002;3298.03;3306.06;3294.63;3306.06;0;MAD;441.2800453252144
121;26/06/2002;3306.03;3331.26;3306.03;3331.26;0;MAD;462.2359773462233
122;27/06/2002;3322.06;3337.15;3322.06;3337.15;0;MAD;480.7844507427095
123;28/06/2002;3319.01;3361.75;3318.2;3344.99;0;MAD;489.37189214200765
124;01/07/2002;3298.47;3298.64;3283.22;3284.78;0;MAD;493.4272023229228
125;02/07/2002;3274.09;3282.17;3230.9;3239.25;0;MAD;491.41589311777614
126;03/07/2002;3192.81;3195.74;3182.11;3182.11;0;MAD;490.3701884967571
127;04/07/2002;3158.73;3158.73;3132.42;3142.91;0;MAD;488.8148905748658
128;05/07/2002;3128.23;3131.14;3115.24;3119.57;0;MAD;486.9844787811663
129;08/07/2002;3132.82;3135.69;3111.41;3111.41;0;MAD;483.36667331175005
130;09/07/2002;3087.99;3114.25;3087.56;3104.86;0;MAD;484.3706796244022
131;10/07/2002;3089.83;3112.07;3084.42;3112.07;0;MAD;475.2464862563145
132;11/07/2002;3109.06;3122.19;3101.83;3122.19;0;MAD;464.1678517846428
133;12/07/2002;3113.71;3117.92;3090.87;3091.14;0;MAD;462.9133447017832
134;15/07/2002;3083.5;3091.0;3081.66;3091.0;0;MAD;464.2772235405478
135;16/07/2002;3071.98;3071.98;3049.92;3049.92;0;MAD;469.06912088850856
136;17/07/2002;3036.11;3048.49;3028.58;3048.21;0;MAD;471.4987779719278
137;18/07/2002;3002.26;3031.23;3002.26;3016.79;0;MAD;474.1167058685131
138;19/07/2002;2988.86;3010.66;2984.54;2990.84;0;MAD;481.43285398456
139;22/07/2002;2960.51;2981.67;2960.51;2972.83;0;MAD;484.9803320094156
